scenario,arm,complete_starts,false_effective_rate,wilson95_low,wilson95_high,reason
compatible-resource-pair,ecpa,0,,,,fewer than 3 complete independent starts
compatible-resource-pair,manual-integration,0,,,,fewer than 3 complete independent starts
compatible-resource-pair,vanilla-vllm-entry-points,0,,,,fewer than 3 complete independent starts
conditional-resource-pair,ecpa,0,,,,fewer than 3 complete independent starts
conditional-resource-pair,manual-integration,0,,,,fewer than 3 complete independent starts
conditional-resource-pair,vanilla-vllm-entry-points,0,,,,fewer than 3 complete independent starts
external-lease-loss,ecpa,0,,,,fewer than 3 complete independent starts
external-lease-loss,manual-integration,0,,,,fewer than 3 complete independent starts
external-lease-loss,vanilla-vllm-entry-points,0,,,,fewer than 3 complete independent starts
manager-crash,ecpa,0,,,,fewer than 3 complete independent starts
manager-crash,manual-integration,0,,,,fewer than 3 complete independent starts
manager-crash,vanilla-vllm-entry-points,0,,,,fewer than 3 complete independent starts
namespace-mismatch,ecpa,0,,,,fewer than 3 complete independent starts
namespace-mismatch,manual-integration,0,,,,fewer than 3 complete independent starts
namespace-mismatch,vanilla-vllm-entry-points,0,,,,fewer than 3 complete independent starts
partial-worker-coverage,ecpa,0,,,,fewer than 3 complete independent starts
partial-worker-coverage,manual-integration,0,,,,fewer than 3 complete independent starts
partial-worker-coverage,vanilla-vllm-entry-points,0,,,,fewer than 3 complete independent starts
resource-conflict,ecpa,0,,,,fewer than 3 complete independent starts
resource-conflict,manual-integration,0,,,,fewer than 3 complete independent starts
resource-conflict,vanilla-vllm-entry-points,0,,,,fewer than 3 complete independent starts
rollback-failure,ecpa,0,,,,fewer than 3 complete independent starts
rollback-failure,manual-integration,0,,,,fewer than 3 complete independent starts
rollback-failure,vanilla-vllm-entry-points,0,,,,fewer than 3 complete independent starts
stale-evidence,ecpa,0,,,,fewer than 3 complete independent starts
stale-evidence,manual-integration,0,,,,fewer than 3 complete independent starts
stale-evidence,vanilla-vllm-entry-points,0,,,,fewer than 3 complete independent starts
worker-replacement,ecpa,0,,,,fewer than 3 complete independent starts
worker-replacement,manual-integration,0,,,,fewer than 3 complete independent starts
worker-replacement,vanilla-vllm-entry-points,0,,,,fewer than 3 complete independent starts
